パッチバージョン,変更対象,変更概要,変更部分,変更前,変更後
patch11.1,パンテオン,基本ステータス,体力自動回復,10,9
patch11.1,パンテオン,基本ステータス,強化時の攻撃力増加量,135～165%,120～165%
patch11.1,パンテオン,W - 跳撃の盾,強化時の攻撃力増加量,135～165%,120～165%
patch11.1,キヤナ,基本ステータス,体力自動回復,8.5（+1レベルにつき0.65）,9（+1レベルにつき0.9）
patch11.1,キヤナ,基本ステータス,攻撃力,64,66
patch11.1,ライズ,Q - オーバーロード,コスト,40マナ,40/38/36/34/32マナ
patch11.1,ザヤ,E - ブレードコーラー,クールダウン,12/11/10/9/8秒,10/9.5/9/8.5/8秒
patch11.1,ザヤ,E - ブレードコーラー,コスト,40マナ,30マナ
patch11.1,ヤスオ,基本ステータス,レベルアップごとの攻撃力,3.2,2.2
patch11.1,ヤスオ,基本ステータス,「不惑の心」の増加クリティカル率,100%,150%
patch11.1,ヤスオ,基本ステータス,「不惑の心」の余剰分の攻撃力変換量,クリティカル率1%ごとに攻撃力0.5,クリティカル率1%ごとに攻撃力0.4
patch11.1,ヤスオ,固有スキル - 浪人道,「不惑の心」の増加クリティカル率,100%,150%
patch11.1,ヤスオ,固有スキル - 浪人道,「不惑の心」の余剰分の攻撃力変換量,クリティカル率1%ごとに攻撃力0.5,クリティカル率1%ごとに攻撃力0.4
patch11.1,ヨネ,基本ステータス,レベルアップごとの攻撃力,3,2
patch11.1,ヨネ,基本ステータス,「不惑の心」の増加クリティカル率,100%,150%
patch11.1,ヨネ,基本ステータス,「不惑の心」の余剰分の攻撃力変換量,クリティカル率1%ごとに攻撃力0.5,クリティカル率1%ごとに攻撃力0.4
patch11.1,ヨネ,固有スキル - 狩鬼道,「不惑の心」の増加クリティカル率,100%,150%
patch11.1,ヨネ,固有スキル - 狩鬼道,「不惑の心」の余剰分の攻撃力変換量,クリティカル率1%ごとに攻撃力0.5,クリティカル率1%ごとに攻撃力0.4
patch11.2,アカリ,Q - 五連苦無,コスト,120/110/100/90/80気,120/115/110/105/100気
patch11.2,アジール,Q - 征服の勅命,クールダウン,15/13/11/9/7秒,14/12/10/8/6秒
patch11.2,ケイトリン,基本ステータス,レベルアップごとの基本攻撃力,2.88,3.3
patch11.2,ダリウス,固有スキル - 大出血,「紅血の激昂」の増加攻撃力,30～230,20～205
patch11.2,ドクター・ムンド,Q - ホウチョウ,命中時の体力コスト回復量,40%,50%
patch11.2,ドクター・ムンド,Q - ホウチョウ,キル時の体力コスト回復量,80%,100%
patch11.2,ドクター・ムンド,Q - ホウチョウ,追加ダメージ,自身の最大体力の3/3.5/4/4.5/5%,自身の最大体力の4/4.5/5/5.5/6%
patch11.2,ドクター・ムンド,Q - ホウチョウ,体力自動回復,最大体力の50/75/100%,最大体力の60/85/110%
patch11.2,ドクター・ムンド,E - マゾヒズム,追加ダメージ,自身の最大体力の3/3.5/4/4.5/5%,自身の最大体力の4/4.5/5/5.5/6%
patch11.2,ドクター・ムンド,E - マゾヒズム,体力自動回復,最大体力の50/75/100%,最大体力の60/85/110%
patch11.2,ドクター・ムンド,R - サディズム,体力自動回復,最大体力の50/75/100%,最大体力の60/85/110%
patch11.2,エリス,蜘蛛形態 Q - 毒牙,ダメージ,70/110/150/190/230,70/105/140/175/210
patch11.2,アイバーン,E - タネバクダン,シールド付与率,魔力の90%,魔力の80%
patch11.2,ルブラン,基本ステータス,レベルアップごとの体力,92,97
patch11.2,ルブラン,基本ステータス,コスト,50/60/70/80/90マナ,50/55/60/65/70マナ
patch11.2,ルブラン,Q - シジルマリス,コスト,50/60/70/80/90マナ,50/55/60/65/70マナ
patch11.2,マオカイ,E - 苗木投げ,コスト,60/65/70/75/80マナ,60/70/80/90/100マナ
patch11.2,マオカイ,E - 苗木投げ,ダメージ反映率,魔力×100ごとに1%,魔力×100ごとに0.8%
patch11.2,ノクターン,Q - 闇の手,クールダウン,10秒,8秒
patch11.2,ノクターン,Q - 闇の手,クールダウン,150/125/100秒,140/115/90秒
patch11.2,ノクターン,R - パラノイア,クールダウン,150/125/100秒,140/115/90秒
patch11.2,ヌヌ＆ウィルンプ,基本ステータス,移動速度,345,340
patch11.2,ヌヌ＆ウィルンプ,基本ステータス,体力,570,540
patch11.2,オラフ,W - 残忍な斧,ライフスティール,14/16/18/20/22%,16/18/20/22/24%
patch11.2,オラフ,W - 残忍な斧,回復効果増加割合,0%～50%（減少体力に応じて）,0%～33%（減少体力に応じて）
patch11.2,セナ,基本ステータス,攻撃速度反映率,0.2,0.3
patch11.2,セナ,基本ステータス,固有スキルのキル以外による「霧の亡霊」の出現確率,22%,28%
patch11.2,セナ,基本ステータス,「霧の亡霊」から獲得するゴールド,3,8
patch11.2,セナ,基本ステータス,回復効果反映率,魔力の25%,魔力の40%
patch11.2,セナ,基本ステータス,ダメージ反映率,攻撃力の40%,攻撃力の50%
patch11.2,シャコ,固有スキル - バックスタブ,ダメージ,10～25（チャンピオンレベル1～18）,20～35（チャンピオンレベル1～18）
patch11.2,ソラカ,Q - 星のささやき,合計回復量,50/60/70/80/90,50/65/80/95/110
patch11.2,ソラカ,Q - 星のささやき,回復量,80/115/150/185/220,90/125/160/195/230
patch11.2,ソラカ,Q - 星のささやき,回復量の反映率,魔力の60%,魔力の70%
patch11.2,ソラカ,W - 星霊の癒し,回復量,80/115/150/185/220,90/125/160/195/230
patch11.2,ソラカ,W - 星霊の癒し,回復量の反映率,魔力の60%,魔力の70%
patch11.2,トランドル,Q - 咬み付き,追加ダメージ反映率,攻撃力の10/20/30/40/50%,攻撃力の15/25/35/45/55%
patch11.2,トランドル,Q - 咬み付き,増加攻撃速度,20/40/60/80/100%,30/50/70/90/110%
patch11.2,トランドル,W - 凍てつく大地,増加攻撃速度,20/40/60/80/100%,30/50/70/90/110%
patch11.2,ヴァルス,基本ステータス,レベルアップごとのマナ,33,40
patch11.2,ヴァルス,基本ステータス,クールダウン,120/90/60秒,100/80/60秒
patch11.2,ヴァルス,R - 穢れの連鎖,クールダウン,120/90/60秒,100/80/60秒
patch11.3,アニビア,Q - フラッシュフロスト,爆発ダメージ,70/105/140/175/210（+魔力の50%）,60/95/130/165/200（+魔力の45%）
patch11.3,アニビア,Q - フラッシュフロスト,クールダウン,4/2.5/1秒,4/3/2秒
patch11.3,アニビア,R - ブリザード,クールダウン,4/2.5/1秒,4/3/2秒
patch11.3,チョ＝ガス,E - ヴォーパルスパイク,基本ダメージ,22/37/52/67/82,22/34/46/58/70
patch11.3,エリス,ヒト形態: Q - 神経毒,基本ダメージ,40/75/110/145/180,40/70/100/130/160
patch11.3,エリス,ヒト形態: Q - 神経毒,発動効果による攻撃速度増加率,60/80/100/120/140%,60/70/80/90/100%
patch11.3,エリス,蜘蛛形態: W - 猛食,発動効果による攻撃速度増加率,60/80/100/120/140%,60/70/80/90/100%
patch11.3,エズリアル,Q - ミスティックショット,ダメージ反映率,攻撃力の120%,攻撃力の130%
patch11.3,アイバーン,基本ステータス,レベルアップごとの体力,95,85
patch11.3,アイバーン,基本ステータス,シールド,80/115/150/185/220,80/110/140/170/200
patch11.3,アイバーン,E - タネバクダン,シールド,80/115/150/185/220,80/110/140/170/200
patch11.3,ジンクス,基本ステータス,体力,610,550
patch11.3,ジンクス,基本ステータス,増加射程,75/100/125/150/175,100/125/150/175/200
patch11.3,ジンクス,基本ステータス,「フィッシュボーン」の増加攻撃速度減少量,-25%,-10%
patch11.3,ジンクス,基本ステータス,コスト,70マナ,90マナ
patch11.3,ジンクス,基本ステータス,トラップが有効になるまでの時間,0.7秒,0.5秒
patch11.3,カルマ,基本ステータス,マナ自動回復,11.5,13
patch11.3,カルマ,基本ステータス,コスト,65マナ,55マナ
patch11.3,カルマ,Q - 心炎,コスト,65マナ,55マナ
patch11.3,モルデカイザー,E - 死の呪縛,クールダウン,24/21/18/15/12秒,22/19/16/13/10秒
patch11.3,オラフ,基本ステータス,体力,597,575
patch11.3,オラフ,基本ステータス,増加攻撃速度,0～100%,0～75%
patch11.3,パンテオン,Q - 彗星の槍,ダメージが低下する対象,ミニオン,ミニオンとモンスター
patch11.3,パンテオン,Q - 彗星の槍,クールダウン,10/9.5/9/8.5/8秒,13/11.75/10.5/9.25/8秒
patch11.3,ラムス,E - ぴりぴり,クールダウン,12/11.5/11/10.5/10秒,12秒
patch11.3,レル,W - フェロマンシー:装着,ダメージ反映率,魔力の40%,魔力の60%
patch11.3,レル,W - フェロマンシー:装着,ダメージ反映率,魔力の30%,魔力の40%
patch11.3,レル,W - フェロマンシー:装着,リンク解除のクールダウン,3秒,1秒
patch11.3,リヴェン,E - 勇躍,クールダウン,12/11/10/9/8秒,10/9/8/7/6秒
patch11.3,セラフィーン,固有スキル - ステージプレゼンス,ノートの基本ダメージ,5～20（チャンピオンレベル1～18）,4～16（チャンピオンレベル1～18）
patch11.3,セラフィーン,固有スキル - ステージプレゼンス,味方のシールド量,60～120（チャンピオンレベル1～18）,50～100（チャンピオンレベル1～18）
patch11.3,セラフィーン,固有スキル - ステージプレゼンス,自身のシールド量,90～180（チャンピオンレベル1～18）,75～150（チャンピオンレベル1～18）
patch11.3,セラフィーン,W - サラウンドサウンド,味方のシールド量,60～120（チャンピオンレベル1～18）,50～100（チャンピオンレベル1～18）
patch11.3,セラフィーン,W - サラウンドサウンド,自身のシールド量,90～180（チャンピオンレベル1～18）,75～150（チャンピオンレベル1～18）
patch11.3,シヴァーナ,Q - ツインバイト,強化通常攻撃（最初の攻撃）のダメージ,攻撃力の100%,攻撃力の100% + 魔力の25%
patch11.3,シヴァーナ,Q - ツインバイト,2回目の攻撃の追加ダメージ,攻撃力の20/35/50/65/80%,攻撃力の20/35/50/65/80% + 魔力の15%
patch11.3,シヴァーナ,Q - ツインバイト,増加移動速度,30/35/40/45/50%,30/35/40/45/50% +（魔力100ごとに8%）（変更後も一定割合で徐々に減少）
patch11.3,シヴァーナ,W - バーンアウト,増加移動速度,30/35/40/45/50%,30/35/40/45/50% +（魔力100ごとに8%）（変更後も一定割合で徐々に減少）
patch11.3,シンジド,Q - 毒の軌跡,ダメージ反映率,魔力の80%,魔力の90%
patch11.3,サイラス,Q - 鎖の鞭,コスト,50/55/60/65/70マナ,55マナ
patch11.3,サイラス,Q - 鎖の鞭,ダメージ,65/100/135/170/205（+魔力の85%）,70/105/140/175/210（+魔力の90%）
patch11.3,サイラス,W - 王殺し,ダメージ,65/100/135/170/205（+魔力の85%）,70/105/140/175/210（+魔力の90%）
patch11.3,タリヤ,固有スキル - ロックサーフィン,増加移動速度,12～40%（チャンピオンレベル1～18）,20～45%（チャンピオンレベル1～18）
patch11.3,タリヤ,固有スキル - ロックサーフィン,モンスターに対する2発目以降の石のダメージ,100%,80%
patch11.3,タリヤ,Q - スレッドボレー,モンスターに対する2発目以降の石のダメージ,100%,80%
patch11.3,ウディア,R - 不死鳥の型,発動効果オーラの合計基本ダメージ,50/100/150/200/250/300,50/95/140/185/230/275
patch11.3,ブラッドミア,R - 呪血の渦,クールダウン,150/135/120秒,120秒
patch11.4,アムム,基本ステータス,体力,613,615
patch11.4,アムム,基本ステータス,基本ダメージ,75/95/115/135/155,75/100/125/150/175
patch11.4,アムム,E - だだっこ,基本ダメージ,75/95/115/135/155,75/100/125/150/175
patch11.4,ブラウム,R - 氷河の裂溝,クールダウン,140/120/100秒,120/100/80秒
patch11.4,ケイトリン,基本ステータス,レベルアップごとの基本攻撃力,3.3,3.8
patch11.4,ケイトリン,基本ステータス,レベルアップごとの攻撃速度,3.5%,4%
patch11.4,カミール,W - タクティカルスイープ,クールダウン,15/13.5/12/10.5/9秒,17/15.5/14/12.5/11秒
patch11.4,フィオラ,固有スキル - デュエリスト・ダンス,マークのダメージ,2.5%（+攻撃力100ごとに4.5%）,3%（+攻撃力100ごとに5.5%）
patch11.4,ジンクス,基本ステータス,体力,550,610
patch11.4,カイ＝サ,Q - イカシアの雨,ミサイルごとの基本ダメージ,45/61.25/77.5/93.75/110,40/55/70/85/100
patch11.4,カイ＝サ,Q - イカシアの雨,1体の対象に対する最大基本ダメージ,101.25/137.8125/174.375/210.9375/247.5,90/123.75/157.5/191.25/225
patch11.4,カイ＝サ,Q - イカシアの雨,進化時の1体の対象に対する最大基本ダメージ,168/75/229.6875/290.625/351.5625/412.5,150/206.25/262.5/318.75/375
patch11.4,カタリナ,R - デスロータス,通常攻撃時ダメージ反映率,25%,25/30/35%
patch11.4,カタリナ,R - デスロータス,短剣1本あたりのダメージ,増加攻撃力の15%（+合計攻撃速度100%ごとに9.9%）,増加攻撃力の16%（+合計攻撃速度100%ごとに12.8%）
patch11.4,アーゴット,W - パージ,通常攻撃時ダメージ反映率,50%,75%
patch11.4,リー・シン,Q - 響掌,クールダウン,11/10/9/8/7秒,10/9/8/7/6秒
patch11.4,レネクトン,Q - ミートカット,チャンピオン以外からの基本回復量,3/4.5/6/7.5/9,3/4/5/6/7
patch11.4,レネクトン,Q - ミートカット,強化時のチャンピオン以外からの基本回復量,9/13.5/18/22.5/27,9/12/15/18/21
patch11.4,サミーラ,固有スキル - デアデビルインパルス,追加ダメージ反映率,増加攻撃力の7.5%,攻撃力の3.5%～10.5%（チャンピオンレベル1～18）
patch11.4,サミーラ,固有スキル - デアデビルインパルス,ダメージ反映率,攻撃力の100%,攻撃力の80/87.5/95/102.5/110%
patch11.4,サミーラ,固有スキル - デアデビルインパルス,効果時間,1秒,0.75秒
patch11.4,スカーナー,基本ステータス,体力,601,580
patch11.4,スカーナー,基本ステータス,レベルアップごとの体力,90,85
patch11.4,ソラカ,Q - 星のささやき,増加移動速度,15/17.5/20/22.5/25%,20/22.5/25/27.5/30%
patch11.4,ソラカ,Q - 星のささやき,基本体力回復量,90/125/160/195/230,100/135/170/205/240
patch11.4,ソラカ,W - 星霊の癒し,基本体力回復量,90/125/160/195/230,100/135/170/205/240
patch11.4,タロン,W - 飛燕手裏剣,クールダウン,9秒,9/8.5/8/7.5/7秒
patch11.4,タロン,W - 飛燕手裏剣,追加ダメージ反映率,攻撃力の40%,攻撃力の55%
patch11.4,トリンダメア,基本ステータス,基本攻撃力,69,72
patch11.4,ヴァルス,W - 枯死の矢筒,強化時のQの追加ダメージ,0～50%（詠唱時間に応じて）,0～80%（詠唱時間に応じて）
patch11.4,ヴァルス,W - 枯死の矢筒,最大減少体力ダメージ,9/12/15/18/21%（チャンピオンレベル1/4/7/10/13）,10.8/14.4/18/21.6/25.2%（チャンピオンレベル1/4/7/10/13）
patch11.4,ベイガー,Q - イーヴィルストライク,コスト,40/45/50/55/60,30/35/40/45/50
patch11.4,ベイガー,Q - イーヴィルストライク,クールダウン,120/100/80秒,120/90/60秒
patch11.4,ベイガー,R - メテオバースト,クールダウン,120/100/80秒,120/90/60秒
patch11.5,アジール,W - 目覚めよ！,砂塵兵のダメージ,60～160（チャンピオンレベル1～18）,50～150（チャンピオンレベル1～18）
patch11.5,グラガス,Q - タル転がし,コスト,60/65/70/75/80マナ,80マナ（スキルレベルにかかわらず）
patch11.5,ジャックス,基本ステータス,レベルアップごとの基本攻撃力,3.38,4.25
patch11.5,カルマ,Q - 心炎,クールダウン,9/8.5/8/7.5/7秒,8/7.5/7/6.5/6秒
patch11.5,コグ＝マウ,W - 有機性魔力砲,追加ダメージ,対象の最大体力の3/3.75/4.5/5.25/6%,対象の最大体力の3/4/5/6/7%
patch11.5,マスター・イー,E - ウージュースタイル,基本ダメージ,18/26/34/42/50,20/30/40/50/60
patch11.5,パイク,固有スキル - 沈みし者の力,灰色の体力の獲得量,受けたダメージの25～50%（チャンピオンレベル1～18）,受けたダメージの10%（+脅威の25%）、周囲に敵が2体以上いる場合は受けたダメージの35%（+脅威の50%）まで増加
patch11.5,キヤナ,W - 大地の力,追加ダメージ,8/16/24/32/40（+魔力の30%）,8/22/36/50/64（+魔力の45%）
patch11.5,キヤナ,W - 大地の力,基本攻撃力,100/170/240,100/200/300
patch11.5,キヤナ,R - 天賦絢爛,基本攻撃力,100/170/240,100/200/300
patch11.5,ラムス,基本ステータス,レベルアップごとの体力,95,80
patch11.5,レル,基本ステータス,物理防御,35,32
patch11.5,レル,基本ステータス,クールダウン,11秒,13秒
patch11.5,レル,基本ステータス,クールダウン,11秒,13秒
patch11.5,レル,W - フェロマンシー: 装着,クールダウン,11秒,13秒
patch11.5,レル,W - フェロマンシー: 装着,クールダウン,11秒,13秒
patch11.5,レル,W - フェロマンシー: 騎馬,クールダウン,11秒,13秒
patch11.5,サミーラ,基本ステータス,レベルアップごとの基本攻撃力,2.3,3
patch11.5,サミーラ,基本ステータス,ダメージ反映率,80/87.5/95/102.5/110%,80/90/100/110/120%
patch11.5,サミーラ,Q - フレア,ダメージ反映率,80/87.5/95/102.5/110%,80/90/100/110/120%
patch11.5,セジュアニ,W - 氷河の怒り,2撃目のダメージ反映率,セジュアニの最大体力の5.25%,セジュアニの最大体力の6%
patch11.5,シャコ,W - びっくり箱,基本ダメージ,15/20/25/30/35,10/15/20/25/30
patch11.5,シャコ,W - びっくり箱,1体の対象への基本ダメージ,35/50/65/80/95,25/40/55/70/85
patch11.5,トランドル,Q - 咬み付き,クールダウン,4秒,3.5秒
patch11.5,トゥイッチ,固有スキル - スゴイ毒ダ！,スタックごとのダメージ反映率,魔力の3%,魔力の2.5%
patch11.5,トゥイッチ,固有スキル - スゴイ毒ダ！,追加ダメージ,25/40/55,30/45/60
patch11.5,トゥイッチ,固有スキル - スゴイ毒ダ！,効果時間,5秒,6秒
patch11.5,トゥイッチ,R - ヒャッハー！,追加ダメージ,25/40/55,30/45/60
patch11.5,トゥイッチ,R - ヒャッハー！,効果時間,5秒,6秒
patch11.5,ウディア,基本ステータス,レベルアップごとの体力,99,92
patch11.5,ウディア,基本ステータス,オーラの合計ダメージ,4秒かけて50/95/140/185/230/275,4秒かけて40/80/120/160/200/240
patch11.5,ウディア,R - 不死鳥の型,オーラの合計ダメージ,4秒かけて50/95/140/185/230/275,4秒かけて40/80/120/160/200/240
patch11.6,アカリ,基本ステータス,体力,575,500
patch11.6,アカリ,基本ステータス,レベルアップごとの体力,95,105
patch11.6,ナー,W - ごきげん,追加ダメージの基本ダメージ,10/20/30/40/50,0/10/20/30/40
patch11.6,ヘカリム,Q - ランページ,基本ダメージ,60/102/144/186/228,60/97/134/171/208
patch11.6,カーサス,Q - 根絶やし,基本ダメージ,45/65/85/105/125 (90/130/170/210/250),45/62.5/80/97.5/115 (90/125/160/195/230)
patch11.6,ルブラン,W - ディストーション,コスト,60/75/90/105/120マナ,60/70/80/90/100マナ
patch11.6,リリア,R - 夢見の子守唄,クールダウン,130/110/90秒,150/130/110秒
patch11.6,パイク,E - 亡者の引き波,クールダウン,15秒,15/14/13/12/11秒
patch11.6,レネクトン,R - セベクの怒り,増加体力,250/500/750,250/400/550
patch11.6,サイラス,固有スキル - ペトリサイトバースト,「ペトリサイトバースト」の増加攻撃速度,80%,125%
patch11.6,サイラス,固有スキル - ペトリサイトバースト,クールダウン,13/11.5/10/8.5/7秒,13/11.25/9.5/7.75/6秒
patch11.6,サイラス,固有スキル - ペトリサイトバースト,コスト,70/80/90/100/110マナ,60/70/80/90/100マナ
patch11.6,サイラス,固有スキル - ペトリサイトバースト,体力回復量の反映率,魔力の50%,魔力の45%
patch11.6,サイラス,W - 王殺し,クールダウン,13/11.5/10/8.5/7秒,13/11.25/9.5/7.75/6秒
patch11.6,サイラス,W - 王殺し,コスト,70/80/90/100/110マナ,60/70/80/90/100マナ
patch11.6,サイラス,W - 王殺し,体力回復量の反映率,魔力の50%,魔力の45%
patch11.6,アーゴット,W - パージ,通常攻撃時効果の適用割合,75%,50%
patch11.6,シン・ジャオ,固有スキル - 不退転,体力回復量,10～112（チャンピオンレベル1～18）,7～92（チャンピオンレベル1～18）
patch11.7,アリスター,Q - 圧砕,基本ダメージ,60/105/150/195/240,60/100/140/180/220
patch11.7,アリスター,Q - 圧砕,強化通常攻撃,35～290（チャンピオンレベル1～18）の追加魔法ダメージ,20～275（チャンピオンレベル1～18）の追加魔法ダメージ
patch11.7,アリスター,E - 踏破,強化通常攻撃,35～290（チャンピオンレベル1～18）の追加魔法ダメージ,20～275（チャンピオンレベル1～18）の追加魔法ダメージ
patch11.7,アムム,Q - 絡みつく包帯,コスト,50/55/60/65/70マナ,30/35/40/45/50マナ
patch11.7,アムム,Q - 絡みつく包帯,クールダウン,10/9/8/7/6秒,9/8/7/6/5秒
patch11.7,アムム,E - だだっこ,クールダウン,10/9/8/7/6秒,9/8/7/6/5秒
patch11.7,アッシュ,R - クリスタルアロー,クールダウン,100/90/80秒,100/80/60秒
patch11.7,ブラウム,E - 不破の盾,クールダウン,18/16/14/12/10秒,16/14/12/10/8秒
patch11.7,ブラウム,E - 不破の盾,最大ノックアップ効果時間,1/1.25/1.5秒,1/1.5/2秒
patch11.7,ブラウム,R - 氷河の裂溝,最大ノックアップ効果時間,1/1.25/1.5秒,1/1.5/2秒
patch11.7,ヘカリム,E - チャージ,増加移動速度,25～75%（発動時間に応じて）,25～65%（発動時間に応じて）
patch11.7,アイバーン,E - タネバクダン,基本ダメージ,70/95/120/145/170,70/90/110/130/150
patch11.7,カイ＝サ,R - キラーヴォイド,クールダウン,110/90/70秒,130/100/70秒
patch11.7,キンドレッド,Q - 矢の輪舞,追加ダメージ反映率,攻撃力の65%,攻撃力の75%
patch11.7,キンドレッド,Q - 矢の輪舞,クールダウン,16/15/14/13/12秒,14/13/12/11/10秒
patch11.7,キンドレッド,E - 忍び寄る恐怖,クールダウン,16/15/14/13/12秒,14/13/12/11/10秒
patch11.7,リサンドラ,Q - アイスシャード,基本ダメージ,70/100/130/160/190,80/110/140/170/200
patch11.7,モルデカイザー,Q - 滅魂の一撃,孤立した敵へのダメージ増加率,30/35/40/45/50%,40/45/50/55/60%
patch11.7,レル,E - 鋼の絆/排撃,スタン効果時間,0.75秒,0.5秒
patch11.7,ティーモ,固有スキル - やぶからヨードル,奇襲モード効果時間,3秒間攻撃速度が増加,5秒間攻撃速度が増加
patch11.7,ティーモ,固有スキル - やぶからヨードル,通常攻撃時効果の基本ダメージ,10/20/30/40/50,11/22/33/44/55
patch11.7,ティーモ,E - 毒たっぷり吹き矢,通常攻撃時効果の基本ダメージ,10/20/30/40/50,11/22/33/44/55
patch11.7,スレッシュ,W - 嘆きの魂灯,基本シールド量,60/100/140/180/220,60/90/120/150/180
patch11.7,トリスターナ,基本ステータス,攻撃力,61,59
patch11.7,ウディア,基本ステータス,攻撃力,66,64
patch11.7,ヴァルス,基本ステータス,レベルアップごとの攻撃力,3,3.4
patch11.7,ヤスオ,基本ステータス,レベルアップごとの攻撃力,2.2,3
patch11.7,エバーフロスト,永遠の冬（オーンによるアップグレード品）,氷結ダメージ,125（+魔力の35%）,100（+魔力の30%）
patch11.7,エバーフロスト,永遠の冬（オーンによるアップグレード品）,氷結のクールダウン,20秒,30秒
patch11.7,トリニティ フォース,インフィニティ フォース（オーンによるアップグレード品）,攻撃力,35,40
patch11.7,トリニティ フォース,インフィニティ フォース（オーンによるアップグレード品）,攻撃速度,45,40
patch11.7,ターボ ケミタンク,ターボチャージ ヘクスペリメント（オーンによるアップグレード品）,過給の増加移動速度,75%,60%
patch11.8,アニー,W - バーニングファイア,コスト,70/80/90/100/110マナ,90/95/100/105/110マナ
patch11.8,アフェリオス,固有スキル - 殺す者と導く者,脅威,3/6/9/12/15/18,3.5/7/10.5/14/17.5/21
patch11.8,アフェリオス,固有スキル - 殺す者と導く者,キャリブラムのマーク消費時ダメージ,40/70/100,50/80/110
patch11.8,アフェリオス,固有スキル - 殺す者と導く者,セヴェラムの回復量,250/375/500,275/400/525
patch11.8,アフェリオス,固有スキル - 殺す者と導く者,グラヴィタムのスネア効果時間,1.25秒,1.35秒
patch11.8,アフェリオス,固有スキル - 殺す者と導く者,インファーナムの範囲ダメージ,初期ダメージの85%,初期ダメージの90%
patch11.8,アフェリオス,固有スキル - 殺す者と導く者,クレッシェンダムのチャクラム追加数,4スタック追加（合計5スタック）,5スタック追加（合計6スタック）
patch11.8,アフェリオス,R - 月光の祈り,キャリブラムのマーク消費時ダメージ,40/70/100,50/80/110
patch11.8,アフェリオス,R - 月光の祈り,セヴェラムの回復量,250/375/500,275/400/525
patch11.8,アフェリオス,R - 月光の祈り,グラヴィタムのスネア効果時間,1.25秒,1.35秒
patch11.8,アフェリオス,R - 月光の祈り,インファーナムの範囲ダメージ,初期ダメージの85%,初期ダメージの90%
patch11.8,アフェリオス,R - 月光の祈り,クレッシェンダムのチャクラム追加数,4スタック追加（合計5スタック）,5スタック追加（合計6スタック）
patch11.8,カシオペア,E - ツインファング,コスト,50マナ,50/48/46/44/42マナ
patch11.8,ドクター・ムンド,固有スキル - アドレナリンラッシュ,体力自動回復の最大値,1.5%,2.5%
patch11.8,ドクター・ムンド,固有スキル - アドレナリンラッシュ,ミニオンとモンスターに対するダメージの上限,300/350/400/450/500,100/200/300/400/500
patch11.8,ドクター・ムンド,固有スキル - アドレナリンラッシュ,攻撃命中時の体力コスト回復量,50%,100%
patch11.8,ドクター・ムンド,固有スキル - アドレナリンラッシュ,増加攻撃力の下限,40/55/70/85/100,30/45/60/75/90
patch11.8,ドクター・ムンド,固有スキル - アドレナリンラッシュ,増加攻撃力の上限,60/90/120/150/180,50/80/110/140/170
patch11.8,ドクター・ムンド,Q - ホウチョウ,ミニオンとモンスターに対するダメージの上限,300/350/400/450/500,100/200/300/400/500
patch11.8,ドクター・ムンド,Q - ホウチョウ,攻撃命中時の体力コスト回復量,50%,100%
patch11.8,ドクター・ムンド,Q - ホウチョウ,増加攻撃力の下限,40/55/70/85/100,30/45/60/75/90
patch11.8,ドクター・ムンド,Q - ホウチョウ,増加攻撃力の上限,60/90/120/150/180,50/80/110/140/170
patch11.8,ドクター・ムンド,E - マゾヒズム,増加攻撃力の下限,40/55/70/85/100,30/45/60/75/90
patch11.8,ドクター・ムンド,E - マゾヒズム,増加攻撃力の上限,60/90/120/150/180,50/80/110/140/170
patch11.8,ナー,W - ごきげん,増加移動速度,30/45/60/75%、3秒かけて減衰（Rのスキルレベルに応じて）,20/40/60/80%、3秒かけて減衰（Rのスキルレベルに応じて）
patch11.8,ルブラン,Q - シジルマリス,基本ダメージ,55/80/105/130/155,65/90/115/140/165
patch11.8,ルブラン,Q - シジルマリス,合計ダメージ,110/160/210/260/310,130/180/230/280/330
patch11.8,リー・シン,E - 破風,クールダウン,10秒,8秒
patch11.8,オリアナ,E - オーダー：防御,増加防御力,10/15/20/25/30の物理防御と魔法防御,6/12/18/24/30の物理防御と魔法防御
patch11.8,アップデートラムス,Q - ころころ,基本ダメージ,100/135/170/205/240,100/130/160/190/220
patch11.8,ランブル,基本ステータス,魔法防御,32,28
patch11.8,ランブル,基本ステータス,レベルアップごとの魔法防御,1.25,0.75
patch11.8,ランブル,基本ステータス,オーバーヒート中の追加ダメージ,25～110（チャンピオンレベルに応じて）（+魔力の30%）,10～50（+標的の最大体力の6%）（+魔力の30%）
patch11.8,スレッシュ,E - 絶望の鎖,クールダウン,9秒,11/10.5/10/9.5/9秒
patch11.8,ブラッドミア,Q - 吸血,クールダウン,9/8/7/6/5秒,9/7.75/6.5/5.25/4秒
patch11.8,ヨリック,固有スキル - 魂の導き手,ミストウォーカーのダメージ,2/3/4/5/6/7/8/14/20/26/32/38/44/55/66/77/88/99（+合計攻撃力の30%）,2/3/4/5/6/7/8/13/18/23/28/33/38/48/58/68/78/88（+合計攻撃力の25%）
patch11.8,ヨリック,固有スキル - 魂の導き手,ミストウォーカーのリープ攻撃ダメージ,最初の一撃は200%,最初の一撃は100%（通常のダメージ）
